ULW,Material,Optik,Schale,Hoehe,Daemmung,Luefterrahmen_Variante,Lichtkuppel_Preis_EUR,Aufsatzkranz_Preis_EUR,Luefterrahmen_Preis_EUR,Zusatzkosten_EUR,Total_EUR
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,40 mm,keine,114.6,300.36,,,414.96
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,40 mm,festverglast (nicht zu öffnen),114.6,300.36,0,0,414.96
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,40 mm,manuell offenbar (Spindel),114.6,300.36,235.8,52.5,703.26
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,50 mm,keine,114.6,303.24,,,417.84
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,50 mm,festverglast (nicht zu öffnen),114.6,303.24,0,0,417.84
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,50 mm,manuell offenbar (Spindel),114.6,303.24,235.8,52.5,706.14
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,60 mm,keine,114.6,306.84,,,421.44
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,60 mm,festverglast (nicht zu öffnen),114.6,306.84,0,0,421.44
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,60 mm,manuell offenbar (Spindel),114.6,306.84,235.8,52.5,709.74
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,80 mm,keine,114.6,310.2,,,424.80
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,80 mm,festverglast (nicht zu öffnen),114.6,310.2,0,0,424.80
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,80 mm,manuell offenbar (Spindel),114.6,310.2,235.8,52.5,713.10
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,100 mm,keine,114.6,315.48,,,430.08
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,100 mm,festverglast (nicht zu öffnen),114.6,315.48,0,0,430.08
